Collection Date,Trap,Anopheles sp,Cx nigripapus,Ae inf / atl,Total Mosquitoes,Temperature,Relative Humidity,Gust,UV Index,Solar radiation,Rainfall,log_Anopheles_sp,log_Cx_nigripapus,log_Ae_inf_/_atl,log_Total_Mosquitoes
2021-04-07,B. WICK,13,0.0,0.0,21.0,65.5,69.0,14.6,2.5,279.0,0.0,2.6390573296152584,0.0,0.0,3.0910424533583156
2021-04-07,CHRIS/COV,5,17.0,0.0,29.0,65.5,69.0,14.6,2.5,279.0,0.0,1.791759469228055,2.8903717578961645,0.0,3.4011973816621555
2021-04-07,Cochise,0,10.0,0.0,22.0,65.5,69.0,14.6,2.5,279.0,0.0,0.0,2.3978952727983707,0.0,3.1354942159291497
2021-04-07,College,4,6.0,0.0,19.0,65.5,69.0,14.6,2.5,279.0,0.0,1.6094379124341003,1.9459101490553132,0.0,2.995732273553991
2021-04-07,G. HAVEN,0,3.0,0.0,86.0,65.5,69.0,14.6,2.5,279.0,0.0,0.0,1.3862943611198906,0.0,4.465908118654584
2021-04-07,MATANZAS,3,11.0,0.0,26.0,65.5,69.0,14.6,2.5,279.0,0.0,1.3862943611198906,2.4849066497880004,0.0,3.295836866004329
2021-04-07,OLD A1A,4,0.0,0.0,21.0,65.5,69.0,14.6,2.5,279.0,0.0,1.6094379124341003,0.0,0.0,3.0910424533583156
2021-04-07,PARISH PL.,0,2.0,0.0,5.0,65.5,69.0,14.6,2.5,279.0,0.0,0.0,1.0986122886681096,0.0,1.791759469228055
2021-04-07,QUAIL,0,0.0,0.0,41.0,65.5,69.0,14.6,2.5,279.0,0.0,0.0,0.0,0.0,3.737669618283368
2021-04-07,R. PALM,4,0.0,0.0,14.0,65.5,69.0,14.6,2.5,279.0,0.0,1.6094379124341003,0.0,0.0,2.70805020110221
2021-04-07,RIDDLE,3,33.0,0.0,41.0,65.5,69.0,14.6,2.5,279.0,0.0,1.3862943611198906,3.526360524616161,0.0,3.737669618283368
2021-04-07,S.Hollow,7,0.0,0.0,25.0,65.5,69.0,14.6,2.5,279.0,0.0,2.0794415416798357,0.0,0.0,3.2580965380214817
2021-04-07,TOWNCENTER,3,4.0,0.0,20.0,65.5,69.0,14.6,2.5,279.0,0.0,1.3862943611198906,1.6094379124341003,0.0,3.044522437723423
2021-04-07,U. WOOD,0,2.0,1.0,8.0,65.5,69.0,14.6,2.5,279.0,0.0,0.0,1.0986122886681096,0.6931471805599453,2.197224577336219
2021-04-07,WHITEVIEW,0,1.0,0.0,3.0,65.5,69.0,14.6,2.5,279.0,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906
2021-04-07,WS-21,16,0.0,20.0,152.0,65.5,69.0,14.6,2.5,279.0,0.0,2.833213344056216,0.0,3.044522437723423,5.030437921392435
2021-04-07,WS58/US 1,56,0.0,0.0,78.0,65.5,69.0,14.6,2.5,279.0,0.0,4.04305126783455,0.0,0.0,4.3694478524670215
2021-04-08,A6,5,19.0,0.0,35.0,69.1,69.0,14.0,2.2,247.0,0.0,1.791759469228055,2.995732273553991,0.0,3.58351893845611
2021-04-08,B. WICK,10,1.0,0.0,11.0,69.1,69.0,14.0,2.2,247.0,0.0,2.3978952727983707,0.6931471805599453,0.0,2.4849066497880004
2021-04-08,CHRIS/COV,6,0.0,0.0,14.0,69.1,69.0,14.0,2.2,247.0,0.0,1.9459101490553132,0.0,0.0,2.70805020110221
2021-04-08,Cochise,6,10.0,0.0,41.0,69.1,69.0,14.0,2.2,247.0,0.0,1.9459101490553132,2.3978952727983707,0.0,3.737669618283368
2021-04-08,College,12,10.0,0.0,23.0,69.1,69.0,14.0,2.2,247.0,0.0,2.5649493574615367,2.3978952727983707,0.0,3.1780538303479453
2021-04-08,G. HAVEN,22,0.0,0.0,122.0,69.1,69.0,14.0,2.2,247.0,0.0,3.1354942159291497,0.0,0.0,4.812184355372417
2021-04-08,MATANZAS,0,14.0,2.0,31.0,69.1,69.0,14.0,2.2,247.0,0.0,0.0,2.70805020110221,1.0986122886681096,3.4657359027997265
2021-04-08,OLD A1A,5,3.0,0.0,8.0,69.1,69.0,14.0,2.2,247.0,0.0,1.791759469228055,1.3862943611198906,0.0,2.197224577336219
2021-04-08,PARISH PL.,0,1.0,0.0,3.0,69.1,69.0,14.0,2.2,247.0,0.0,0.0,0.6931471805599453,0.0,1.3862943611198906
2021-04-08,QUAIL,18,11.0,0.0,61.0,69.1,69.0,14.0,2.2,247.0,0.0,2.9444389791664403,2.4849066497880004,0.0,4.127134385045092
2021-04-08,R. PALM,0,5.0,0.0,16.0,69.1,69.0,14.0,2.2,247.0,0.0,0.0,1.791759469228055,0.0,2.833213344056216
2021-04-08,RIDDLE,0,6.0,0.0,57.0,69.1,69.0,14.0,2.2,247.0,0.0,0.0,1.9459101490553132,0.0,4.060443010546419
2021-04-08,S.Hollow,0,3.0,0.0,12.0,69.1,69.0,14.0,2.2,247.0,0.0,0.0,1.3862943611198906,0.0,2.5649493574615367
2021-04-08,TOWNCENTER,1,5.0,0.0,20.0,69.1,69.0,14.0,2.2,247.0,0.0,0.6931471805599453,1.791759469228055,0.0,3.044522437723423
2021-04-08,U. WOOD,27,0.0,0.0,43.0,69.1,69.0,14.0,2.2,247.0,0.0,3.332204510175204,0.0,0.0,3.784189633918261
2021-04-08,WHITEVIEW,5,0.0,0.0,6.0,69.1,69.0,14.0,2.2,247.0,0.0,1.791759469228055,0.0,0.0,1.9459101490553132
2021-04-08,WS-21,70,0.0,0.0,170.0,69.1,69.0,14.0,2.2,247.0,0.0,4.2626798770413155,0.0,0.0,5.141663556502659
2021-04-08,WS58/US 1,90,0.0,0.0,128.0,69.1,69.0,14.0,2.2,247.0,0.0,4.51085950651685,0.0,0.0,4.859812404361672
2021-04-09,A6,34,3.0,2.0,49.0,69.8,73.0,15.4,2.0,221.0,0.0,3.5553480614894135,1.3862943611198906,1.0986122886681096,3.912023005428146
2021-04-09,B. WICK,15,6.0,0.0,24.0,69.8,73.0,15.4,2.0,221.0,0.0,2.772588722239781,1.9459101490553132,0.0,3.2188758248682006
2021-04-09,CHRIS/COV,3,6.0,0.0,16.0,69.8,73.0,15.4,2.0,221.0,0.0,1.3862943611198906,1.9459101490553132,0.0,2.833213344056216
2021-04-09,Cochise,0,6.0,1.0,21.0,69.8,73.0,15.4,2.0,221.0,0.0,0.0,1.9459101490553132,0.6931471805599453,3.0910424533583156
2021-04-09,College,3,2.0,1.0,8.0,69.8,73.0,15.4,2.0,221.0,0.0,1.3862943611198906,1.0986122886681096,0.6931471805599453,2.197224577336219
2021-04-09,G. HAVEN,10,0.0,0.0,82.0,69.8,73.0,15.4,2.0,221.0,0.0,2.3978952727983707,0.0,0.0,4.418840607796597
2021-04-09,MATANZAS,8,8.0,4.0,64.0,69.8,73.0,15.4,2.0,221.0,0.0,2.197224577336219,2.197224577336219,1.6094379124341003,4.174387269895637
2021-04-09,OLD A1A,0,0.0,0.0,13.0,69.8,73.0,15.4,2.0,221.0,0.0,0.0,0.0,0.0,2.6390573296152584
2021-04-09,PARISH PL.,0,1.0,0.0,2.0,69.8,73.0,15.4,2.0,221.0,0.0,0.0,0.6931471805599453,0.0,1.0986122886681096
2021-04-09,QUAIL,40,12.0,0.0,124.0,69.8,73.0,15.4,2.0,221.0,0.0,3.7135720667043075,2.5649493574615367,0.0,4.828313737302301
2021-04-09,R. PALM,16,0.0,1.0,42.0,69.8,73.0,15.4,2.0,221.0,0.0,2.833213344056216,0.0,0.6931471805599453,3.7612001156935624
2021-04-09,RIDDLE,17,0.0,0.0,37.0,69.8,73.0,15.4,2.0,221.0,0.0,2.8903717578961645,0.0,0.0,3.6375861597263857
2021-04-09,S.Hollow,5,0.0,0.0,19.0,69.8,73.0,15.4,2.0,221.0,0.0,1.791759469228055,0.0,0.0,2.995732273553991
2021-04-09,TOWNCENTER,3,8.0,0.0,23.0,69.8,73.0,15.4,2.0,221.0,0.0,1.3862943611198906,2.197224577336219,0.0,3.1780538303479453
2021-04-09,U. WOOD,16,0.0,0.0,42.0,69.8,73.0,15.4,2.0,221.0,0.0,2.833213344056216,0.0,0.0,3.7612001156935624
2021-04-09,WHITEVIEW,1,0.0,0.0,5.0,69.8,73.0,15.4,2.0,221.0,0.0,0.6931471805599453,0.0,0.0,1.791759469228055
2021-04-09,WS-21,384,0.0,16.0,576.0,69.8,73.0,15.4,2.0,221.0,0.0,5.953243334287784,0.0,2.833213344056216,6.357842266508099
2021-04-09,WS58/US 1,240,16.0,16.0,400.0,69.8,73.0,15.4,2.0,221.0,0.0,5.484796933490655,2.833213344056216,2.833213344056216,5.993961427306569
2021-04-13,A6,15,25.0,0.0,43.0,67.3,75.0,20.0,2.7,295.0,0.0,2.772588722239781,3.2580965380214817,0.0,3.784189633918261
2021-04-13,B. WICK,5,8.0,0.0,13.0,67.3,75.0,20.0,2.7,295.0,0.0,1.791759469228055,2.197224577336219,0.0,2.6390573296152584
2021-04-13,CHRIS/COV,11,10.0,1.0,22.0,67.3,75.0,20.0,2.7,295.0,0.0,2.4849066497880004,2.3978952727983707,0.6931471805599453,3.1354942159291497
2021-04-13,Cochise,0,14.0,0.0,17.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,2.70805020110221,0.0,2.8903717578961645
2021-04-13,College,3,11.0,0.0,14.0,67.3,75.0,20.0,2.7,295.0,0.0,1.3862943611198906,2.4849066497880004,0.0,2.70805020110221
2021-04-13,G. HAVEN,9,10.0,0.0,63.0,67.3,75.0,20.0,2.7,295.0,0.0,2.3025850929940455,2.3978952727983707,0.0,4.1588830833596715
2021-04-13,MATANZAS,10,11.0,0.0,40.0,67.3,75.0,20.0,2.7,295.0,0.0,2.3978952727983707,2.4849066497880004,0.0,3.7135720667043075
2021-04-13,OLD A1A,9,28.0,3.0,40.0,67.3,75.0,20.0,2.7,295.0,0.0,2.3025850929940455,3.3672958299864737,1.3862943611198906,3.7135720667043075
2021-04-13,PARISH PL.,0,11.0,0.0,11.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,2.4849066497880004,0.0,2.4849066497880004
2021-04-13,QUAIL,15,14.0,2.0,60.0,67.3,75.0,20.0,2.7,295.0,0.0,2.772588722239781,2.70805020110221,1.0986122886681096,4.110873864173311
2021-04-13,R. PALM,0,1.0,0.0,21.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,0.6931471805599453,0.0,3.0910424533583156
2021-04-13,RIDDLE,0,7.0,13.0,31.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,2.0794415416798357,2.6390573296152584,3.4657359027997265
2021-04-13,S.Hollow,0,5.0,1.0,15.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,1.791759469228055,0.6931471805599453,2.772588722239781
2021-04-13,TOWNCENTER,0,3.0,0.0,9.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,1.3862943611198906,0.0,2.3025850929940455
2021-04-13,U. WOOD,13,15.0,2.0,80.0,67.3,75.0,20.0,2.7,295.0,0.0,2.6390573296152584,2.772588722239781,1.0986122886681096,4.394449154672438
2021-04-13,WHITEVIEW,0,1.0,0.0,1.0,67.3,75.0,20.0,2.7,295.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453
2021-04-13,WS-21,36,20.0,0.0,196.0,67.3,75.0,20.0,2.7,295.0,0.0,3.6109179126442243,3.044522437723423,0.0,5.2832037287379885
2021-04-13,WS58/US 1,408,80.0,24.0,720.0,67.3,75.0,20.0,2.7,295.0,0.0,6.013715156042801,4.394449154672438,3.2188758248682006,6.580639137284948
2021-04-14,A6,0,26.0,0.0,30.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,3.295836866004329,0.0,3.4339872044851463
2021-04-14,B. WICK,8,5.0,3.0,27.0,70.3,76.0,14.3,2.4,277.0,0.0,2.197224577336219,1.791759469228055,1.3862943611198906,3.332204510175204
2021-04-14,CHRIS/COV,0,14.0,0.0,17.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,2.70805020110221,0.0,2.8903717578961645
2021-04-14,Cochise,0,14.0,4.0,23.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,2.70805020110221,1.6094379124341003,3.1780538303479453
2021-04-14,College,10,0.0,0.0,24.0,70.3,76.0,14.3,2.4,277.0,0.0,2.3978952727983707,0.0,0.0,3.2188758248682006
2021-04-14,G. HAVEN,0,21.0,3.0,41.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,3.0910424533583156,1.3862943611198906,3.737669618283368
2021-04-14,MATANZAS,0,28.0,1.0,59.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,3.3672958299864737,0.6931471805599453,4.0943445622221
2021-04-14,OLD A1A,0,19.0,1.0,20.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,2.995732273553991,0.6931471805599453,3.044522437723423
2021-04-14,PARISH PL.,0,0.0,0.0,5.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,0.0,0.0,1.791759469228055
2021-04-14,QUAIL,9,0.0,0.0,36.0,70.3,76.0,14.3,2.4,277.0,0.0,2.3025850929940455,0.0,0.0,3.6109179126442243
2021-04-14,R. PALM,2,3.0,0.0,24.0,70.3,76.0,14.3,2.4,277.0,0.0,1.0986122886681096,1.3862943611198906,0.0,3.2188758248682006
2021-04-14,RIDDLE,0,22.0,3.0,41.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,3.1354942159291497,1.3862943611198906,3.737669618283368
2021-04-14,S.Hollow,6,23.0,0.0,44.0,70.3,76.0,14.3,2.4,277.0,0.0,1.9459101490553132,3.1780538303479453,0.0,3.8066624897703196
2021-04-14,TOWNCENTER,2,11.0,1.0,18.0,70.3,76.0,14.3,2.4,277.0,0.0,1.0986122886681096,2.4849066497880004,0.6931471805599453,2.9444389791664403
2021-04-14,U. WOOD,11,18.0,3.0,56.0,70.3,76.0,14.3,2.4,277.0,0.0,2.4849066497880004,2.9444389791664403,1.3862943611198906,4.04305126783455
2021-04-14,WHITEVIEW,0,7.0,0.0,7.0,70.3,76.0,14.3,2.4,277.0,0.0,0.0,2.0794415416798357,0.0,2.0794415416798357
2021-04-14,WS-21,14,22.0,0.0,93.0,70.3,76.0,14.3,2.4,277.0,0.0,2.70805020110221,3.1354942159291497,0.0,4.543294782270004
2021-04-14,WS58/US 1,148,0.0,0.0,320.0,70.3,76.0,14.3,2.4,277.0,0.0,5.003946305945459,0.0,0.0,5.771441123130016
2021-04-15,A6,0,39.0,0.0,60.0,72.3,71.0,19.1,1.6,185.0,0.0,0.0,3.6888794541139363,0.0,4.110873864173311
2021-04-15,B. WICK,11,8.0,7.0,27.0,72.3,71.0,19.1,1.6,185.0,0.0,2.4849066497880004,2.197224577336219,2.0794415416798357,3.332204510175204
2021-04-15,CHRIS/COV,2,19.0,0.0,21.0,72.3,71.0,19.1,1.6,185.0,0.0,1.0986122886681096,2.995732273553991,0.0,3.0910424533583156
2021-04-15,Cochise,2,0.0,0.0,16.0,72.3,71.0,19.1,1.6,185.0,0.0,1.0986122886681096,0.0,0.0,2.833213344056216
2021-04-15,College,11,20.0,0.0,31.0,72.3,71.0,19.1,1.6,185.0,0.0,2.4849066497880004,3.044522437723423,0.0,3.4657359027997265
2021-04-15,G. HAVEN,24,0.0,0.0,148.0,72.3,71.0,19.1,1.6,185.0,0.0,3.2188758248682006,0.0,0.0,5.003946305945459
2021-04-15,MATANZAS,6,11.0,0.0,48.0,72.3,71.0,19.1,1.6,185.0,0.0,1.9459101490553132,2.4849066497880004,0.0,3.8918202981106265
2021-04-15,OLD A1A,0,0.0,0.0,12.0,72.3,71.0,19.1,1.6,185.0,0.0,0.0,0.0,0.0,2.5649493574615367
2021-04-15,PARISH PL.,0,3.0,0.0,3.0,72.3,71.0,19.1,1.6,185.0,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906
2021-04-15,QUAIL,24,16.0,0.0,128.0,72.3,71.0,19.1,1.6,185.0,0.0,3.2188758248682006,2.833213344056216,0.0,4.859812404361672
2021-04-15,R. PALM,5,0.0,0.0,35.0,72.3,71.0,19.1,1.6,185.0,0.0,1.791759469228055,0.0,0.0,3.58351893845611
2021-04-15,RIDDLE,17,0.0,0.0,60.0,72.3,71.0,19.1,1.6,185.0,0.0,2.8903717578961645,0.0,0.0,4.110873864173311
2021-04-15,S.Hollow,0,0.0,0.0,53.0,72.3,71.0,19.1,1.6,185.0,0.0,0.0,0.0,0.0,3.988984046564274
2021-04-15,TOWNCENTER,0,3.0,0.0,22.0,72.3,71.0,19.1,1.6,185.0,0.0,0.0,1.3862943611198906,0.0,3.1354942159291497
2021-04-15,U. WOOD,32,104.0,0.0,208.0,72.3,71.0,19.1,1.6,185.0,0.0,3.4965075614664802,4.653960350157523,0.0,5.342334251964811
2021-04-15,WHITEVIEW,0,4.0,0.0,12.0,72.3,71.0,19.1,1.6,185.0,0.0,0.0,1.6094379124341003,0.0,2.5649493574615367
2021-04-15,WS-21,40,48.0,0.0,336.0,72.3,71.0,19.1,1.6,185.0,0.0,3.7135720667043075,3.8918202981106265,0.0,5.820082930352362
2021-04-15,WS58/US 1,208,0.0,0.0,248.0,72.3,71.0,19.1,1.6,185.0,0.0,5.342334251964811,0.0,0.0,5.517452896464707
2021-04-16,A6,6,11.0,0.0,27.0,67.6,83.0,18.4,1.2,143.0,0.1,1.9459101490553132,2.4849066497880004,0.0,3.332204510175204
2021-04-16,B. WICK,11,0.0,5.0,28.0,67.6,83.0,18.4,1.2,143.0,0.1,2.4849066497880004,0.0,1.791759469228055,3.3672958299864737
2021-04-16,CHRIS/COV,9,16.0,1.0,38.0,67.6,83.0,18.4,1.2,143.0,0.1,2.3025850929940455,2.833213344056216,0.6931471805599453,3.6635616461296463
2021-04-16,Cochise,1,3.0,0.0,14.0,67.6,83.0,18.4,1.2,143.0,0.1,0.6931471805599453,1.3862943611198906,0.0,2.70805020110221
2021-04-16,College,0,25.0,2.0,27.0,67.6,83.0,18.4,1.2,143.0,0.1,0.0,3.2580965380214817,1.0986122886681096,3.332204510175204
2021-04-16,G. HAVEN,40,16.0,0.0,176.0,67.6,83.0,18.4,1.2,143.0,0.1,3.7135720667043075,2.833213344056216,0.0,5.176149732573829
2021-04-16,MATANZAS,0,19.0,0.0,34.0,67.6,83.0,18.4,1.2,143.0,0.1,0.0,2.995732273553991,0.0,3.5553480614894135
2021-04-16,OLD A1A,1,3.0,0.0,20.0,67.6,83.0,18.4,1.2,143.0,0.1,0.6931471805599453,1.3862943611198906,0.0,3.044522437723423
2021-04-16,PARISH PL.,1,0.0,0.0,17.0,67.6,83.0,18.4,1.2,143.0,0.1,0.6931471805599453,0.0,0.0,2.8903717578961645
2021-04-16,QUAIL,76,0.0,0.0,236.0,67.6,83.0,18.4,1.2,143.0,0.1,4.343805421853684,0.0,0.0,5.468060141135131
2021-04-16,R. PALM,18,3.0,0.0,53.0,67.6,83.0,18.4,1.2,143.0,0.1,2.9444389791664403,1.3862943611198906,0.0,3.988984046564274
2021-04-16,RIDDLE,13,20.0,0.0,52.0,67.6,83.0,18.4,1.2,143.0,0.1,2.6390573296152584,3.044522437723423,0.0,3.9702919135521215
2021-04-16,S.Hollow,0,5.0,6.0,59.0,67.6,83.0,18.4,1.2,143.0,0.1,0.0,1.791759469228055,1.9459101490553132,4.0943445622221
2021-04-16,TOWNCENTER,0,6.0,0.0,20.0,67.6,83.0,18.4,1.2,143.0,0.1,0.0,1.9459101490553132,0.0,3.044522437723423
2021-04-16,U. WOOD,18,10.0,0.0,56.0,67.6,83.0,18.4,1.2,143.0,0.1,2.9444389791664403,2.3978952727983707,0.0,4.04305126783455
2021-04-16,WHITEVIEW,0,4.0,0.0,9.0,67.6,83.0,18.4,1.2,143.0,0.1,0.0,1.6094379124341003,0.0,2.3025850929940455
2021-04-16,WS-21,48,0.0,12.0,228.0,67.6,83.0,18.4,1.2,143.0,0.1,3.8918202981106265,0.0,2.5649493574615367,5.433722003554239
2021-04-16,WS58/US 1,120,74.0,0.0,258.0,67.6,83.0,18.4,1.2,143.0,0.1,4.795790545596741,4.31748811353631,0.0,5.556828061699537
2021-04-20,A6,30,0.0,0.0,49.0,67.6,84.0,12.4,1.1,133.0,0.06,3.4339872044851463,0.0,0.0,3.912023005428146
2021-04-20,B. WICK,7,1.0,0.0,22.0,67.6,84.0,12.4,1.1,133.0,0.06,2.0794415416798357,0.6931471805599453,0.0,3.1354942159291497
2021-04-20,CHRIS/COV,0,0.0,0.0,3.0,67.6,84.0,12.4,1.1,133.0,0.06,0.0,0.0,0.0,1.3862943611198906
2021-04-20,Cochise,1,1.0,0.0,12.0,67.6,84.0,12.4,1.1,133.0,0.06,0.6931471805599453,0.6931471805599453,0.0,2.5649493574615367
2021-04-20,College,13,2.0,0.0,25.0,67.6,84.0,12.4,1.1,133.0,0.06,2.6390573296152584,1.0986122886681096,0.0,3.2580965380214817
2021-04-20,G. HAVEN,48,0.0,0.0,140.0,67.6,84.0,12.4,1.1,133.0,0.06,3.8918202981106265,0.0,0.0,4.948759890378168
2021-04-20,MATANZAS,17,0.0,0.0,23.0,67.6,84.0,12.4,1.1,133.0,0.06,2.8903717578961645,0.0,0.0,3.1780538303479453
2021-04-20,OLD A1A,0,0.0,0.0,7.0,67.6,84.0,12.4,1.1,133.0,0.06,0.0,0.0,0.0,2.0794415416798357
